"","ID","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65"
"30","ES-018329-01","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","mnc","mnc","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"31","ES-018868-01","snc","snc","snc","snc","snc","snc","mnc","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"32","ES-018868-02","snc","snc","snc","snc","snc","snc","snc","mnc","m1c","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"33","ES-020314-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"34","ES-020314-02","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"35","ES-025602-01","snc","snc","snc","snc","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"36","ES-025602-02","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","m1c","m1c","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"37","ES-026937-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"38","ES-026937-02","snc","snc","snc","snc","snc","snc","snc","snc","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"39","ES-026993-02","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","mnc","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"40","ES-029550-03","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc"
"41","ES-029629-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
