"","ID","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65"
"1642","ES-908555-02","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1643","ES-909215-01","ft","ft","ft","ft","ft","ft","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf"
"1644","ES-913983-01","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1645","ES-913983-02","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1646","ES-914914-01","olf","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1647","ES-915856-01","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","pt","pt","pt","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1648","ES-915868-01","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1649","ES-915868-02","olf","olf","olf","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1650","ES-916450-01","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1651","ES-917081-01","olf","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft"
"1652","ES-917081-02","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1653","ES-918157-01","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf"
"1654","ES-918157-02","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","pt","pt","pt","pt","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1655","ES-918272-01","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1656","ES-918272-02","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft"
"1657","ES-919015-01","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft"
"1658","ES-919015-02","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft"
"1659","ES-920089-01","olf","olf","olf","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1660","ES-920089-02","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1661","ES-920158-01","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1662","ES-920239-01","olf","olf","olf","olf","olf","olf","olf","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1663","ES-920239-02","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1664","ES-920450-01","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1665","ES-920450-02","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1666","ES-920904-01","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1667","ES-920904-02","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft"
"1668","ES-921338-01","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1669","ES-921338-02","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf"
"1670","ES-922367-01","olf","olf","olf","olf","ft","ft","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1671","ES-922367-02","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","pt","pt","pt","pt","pt","pt","pt","pt","pt","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1672","ES-923080-01","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
